PubDate,StDate,EnDate,Section,PropSell,PropBuy,PropTot,PropBal,BrkSell,BrkBuy,BrkTot,BrkBal,TotSell,TotBuy,TotTot,TotBal,IndSell,IndBuy,IndTot,IndBal,FrgnSell,FrgnBuy,FrgnTot,FrgnBal,SecCoSell,SecCoBuy,SecCoTot,SecCoBal,InvTrSell,InvTrBuy,InvTrTot,InvTrBal,BusCoSell,BusCoBuy,BusCoTot,BusCoBal,OthCoSell,OthCoBuy,OthCoTot,OthCoBal,InsCoSell,InsCoBuy,InsCoTot,InsCoBal,BankSell,BankBuy,BankTot,BankBal,TrstBnkSell,TrstBnkBuy,TrstBnkTot,TrstBnkBal,OthFinSell,OthFinBuy,OthFinTot,OthFinBal
2023-03-16,2023-03-06,2023-03-10,TSEPrime,2231098218,3670627360,5901725578,1439529142,15490309149,14047946946,29538256095,-1442362203,17721407367,17718574306,35439981673,-2833061,3562695449,3353615571,6916311020,-209079878,10766417106,9649996598,20416413704,-1116420508,88874633,83735231,172609864,-5139402,348648615,352990026,701638641,4341411,203182570,289072821,492255391,85890251,42900439,32573992,75474431,-10326447,31028026,24117963,55145989,-6910063,50718780,15036151,65754931,-35682629,367678548,221135698,588814246,-146542850,28164983,25672895,53837878,-2492088
2023-03-24,2023-03-13,2023-03-17,TSEPrime,2593590805,2339997040,4933587845,-253593765,16849828677,17030435088,33880263765,180606411,19443419482,19370432128,38813851610,-72987354,3253263370,4005070816,7258334186,751807446,12382958887,11819580212,24202539099,-563378675,76295581,114524916,190820497,38229335,433224602,441098351,874322953,7873749,183995123,323625400,507620523,139630277,34682829,43903360,78586189,9220531,16568769,11630753,28199522,-4938016,31083217,29952159,61035376,-1131058,418224037,216402412,634626449,-201821625,19532262,24646709,44178971,5114447
2023-03-30,2023-03-20,2023-03-24,TSEPrime,1500518130,1600319815,3100837945,99801685,10765371580,10658266185,21423637765,-107105395,12265889710,12258586000,24524475710,-7303710,2177294956,2378755578,4556050534,201460622,7986510346,7539147012,15525657358,-447363334,49267657,61621966,110889623,12354309,216454029,226111431,442565460,9657402,109289868,172247418,281537286,62957550,26620545,41814091,68434636,15193546,31383605,6585032,37968637,-24798573,11596748,44546282,56143030,32949534,138687652,160432806,299120458,21745154,18266174,27004569,45270743,8738395
2023-04-06,2023-03-27,2023-03-31,TSEPrime,2551720962,2955535446,5507256408,403814484,14251187321,13849390954,28100578275,-401796367,16802908283,16804926400,33607834683,2018117,3269233832,2972804340,6242038172,-296429492,9908752083,9926355722,19835107805,17603639,75980589,68746758,144727347,-7233831,352317329,368239771,720557100,15922442,137770224,116260410,254030634,-21509814,29618909,38648805,68267714,9029896,12183621,13296071,25479692,1112450,55269707,20234194,75503901,-35035513,319641792,303209987,622851779,-16431805,90419235,21594896,112014131,-68824339
2023-04-13,2023-04-03,2023-04-07,TSEPrime,2349192402,1858687380,4207879782,-490505022,12950058329,13438885637,26388943966,488827308,15299250731,15297573017,30596823748,-1677714,2632780582,2785684156,5418464738,152903574,8906921510,9631373979,18538295489,724452469,62019184,65626999,127646183,3607815,385642025,378789104,764431129,-6852921,112886918,161909110,274796028,49022192,28208103,62258780,90466883,34050677,49698590,9232287,58930877,-40466303,53070039,50640153,103710192,-2429886,685651289,284135795,969787084,-401515494,33180089,9235274,42415363,-23944815
2023-04-20,2023-04-10,2023-04-14,TSEPrime,2185764154,1876865592,4062629746,-308898562,11668336266,11980296610,23648632876,311960344,13854100420,13857162202,27711262622,3061782,2676656881,2250627802,4927284683,-426029079,7972213738,9021008736,16993222474,1048794998,64896759,52660019,117556778,-12236740,296711941,284244556,580956497,-12467385,133518835,126193123,259711958,-7325712,22043341,25166157,47209498,3122816,62327697,6755825,69083522,-55571872,35322482,30124717,65447199,-5197765,388696393,173688999,562385392,-215007394,15948199,9826676,25774875,-6121523
2023-04-27,2023-04-17,2023-04-21,TSEPrime,1465289741,1690603613,3155893354,225313872,11975948837,11775282626,23751231463,-200666211,13441238578,13465886239,26907124817,24647661,2688253420,2402116250,5090369670,-286137170,8425004837,8723841253,17148846090,298836416,69070912,62598184,131669096,-6472728,325341124,223483165,548824289,-101857959,136548860,132194365,268743225,-4354495,18223218,21309645,39532863,3086427,26254869,5692916,31947785,-20561953,25181860,17731505,42913365,-7450355,242676256,178305060,420981316,-64371196,19393481,8010283,27403764,-11383198
2023-05-09,2023-04-24,2023-04-28,TSEPrime,2044909164,2184072410,4228981574,139163246,14138781311,14012229918,28151011229,-126551393,16183690475,16196302328,32379992803,12611853,2848640527,2714695813,5563336340,-133944714,10050848261,10209092058,20259940319,158243797,90574347,79322788,169897135,-11251559,423558846,346900142,770458988,-76658704,137246119,147488654,284734773,10242535,31380268,60862977,92243245,29482709,26285692,34368094,60653786,8082402,27723897,15184616,42908513,-12539281,477901325,384170308,862071633,-93731017,24622029,20144468,44766497,-4477561
2023-05-11,2023-05-01,2023-05-02,TSEPrime,493783810,728184278,1221968088,234400468,5814495926,5589747173,11404243099,-224748753,6308279736,6317931451,12626211187,9651715,1497683821,1216617848,2714301669,-281065973,3907467950,4068447653,7975915603,160979703,42870564,30447684,73318248,-12422880,116284652,93094396,209379048,-23190256,62760732,64533373,127294105,1772641,13955683,11133370,25089053,-2822313,14299109,9185007,23484116,-5114102,17539423,1385955,18925378,-16153468,125009215,90801640,215810855,-34207575,16624777,4100247,20725024,-12524530
2023-05-18,2023-05-08,2023-05-12,TSEPrime,2012855517,2050050746,4062906263,37195229,16325973234,16296421912,32622395146,-29551322,18338828751,18346472658,36685301409,7643907,3513145538,3181774823,6694920361,-331370715,11680070972,12268466143,23948537115,588395171,116642782,93455858,210098640,-23186924,359123573,285795793,644919366,-73327780,176152413,210343713,386496126,34191300,40867349,35713241,76580590,-5154108,32543709,14464314,47008023,-18079395,36721890,8752391,45474281,-27969499,330499554,183475501,513975055,-147024053,40205454,14180135,54385589,-26025319
