file,code,name,unit,freq,agg
CO_Q,TK99F1010601GCQ00000,D.I./業況/全規模/_食料品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1010601GCQ10000,D.I./業況/全規模/_食料品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ00000,D.I./業況/全規模/_金属製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ10000,D.I./業況/全規模/_金属製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ00000,D.I./業況/全規模/_はん用・生産用・業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ10000,D.I./業況/全規模/_はん用・生産用・業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ00000,D.I./業況/全規模/__はん用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ10000,D.I./業況/全規模/__はん用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ00000,D.I./業況/全規模/__生産用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ10000,D.I./業況/全規模/__生産用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ00000,D.I./業況/全規模/__業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ10000,D.I./業況/全規模/__業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ00000,D.I./業況/全規模/_電気機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ10000,D.I./業況/全規模/_電気機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1160601GCQ00000,D.I./業況/全規模/_輸送用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1160601GCQ10000,D.I./業況/全規模/_輸送用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1185601GCQ00000,D.I./業況/全規模/__造船・重機、その他輸送用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1185601GCQ10000,D.I./業況/全規模/__造船・重機、その他輸送用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1180601GCQ00000,D.I./業況/全規模/__自動車/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1180601GCQ10000,D.I./業況/全規模/__自動車/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1500601GCQ00000,D.I./業況/全規模/_その他製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1500601GCQ10000,D.I./業況/全規模/_その他製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F3030601GCQ00000,D.I./業況/全規模/__素材業種/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F3030601GCQ10000,D.I./業況/全規模/__素材業種/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F3040601GCQ00000,D.I./業況/全規模/__加工業種/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F3040601GCQ10000,D.I./業況/全規模/__加工業種/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2000601GCQ00000,D.I./業況/全規模/非製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2000601GCQ10000,D.I./業況/全規模/非製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2011601GCQ00000,D.I./業況/全規模/_建設/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2011601GCQ10000,D.I./業況/全規模/_建設/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2019601GCQ00000,D.I./業況/全規模/_不動産・物品賃貸/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2019601GCQ10000,D.I./業況/全規模/_不動産・物品賃貸/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2012601GCQ00000,D.I./業況/全規模/__不動産/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2012601GCQ10000,D.I./業況/全規模/__不動産/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2090601GCQ00000,D.I./業況/全規模/__物品賃貸/実績,%ポイント,QUARTERLY,last
